Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-01-22,555,17,28,510,0,0,0,3.06,5.05,60.71,6
2020-01-23,654,18,30,606,99,1,2,2.75,4.59,60.0,8
2020-01-24,941,26,36,879,287,8,6,2.76,3.83,72.22,9
2020-01-25,1434,42,39,1353,493,16,3,2.93,2.72,107.69,11
2020-01-26,2118,56,52,2010,684,14,13,2.64,2.46,107.69,13
2020-01-27,2927,82,61,2784,809,26,9,2.8,2.08,134.43,16
2020-01-28,5578,131,107,5340,2651,49,46,2.35,1.92,122.43,16
2020-01-29,6167,133,125,5909,589,2,18,2.16,2.03,106.4,18
2020-01-30,8235,171,141,7923,2068,38,16,2.08,1.71,121.28,20
2020-01-31,9927,213,219,9495,1692,42,78,2.15,2.21,97.26,23
2020-02-01,12038,259,281,11498,2111,46,62,2.15,2.33,92.17,25
2020-02-02,16787,362,459,15966,4749,103,178,2.16,2.73,78.87,25
2020-02-03,19887,426,604,18857,3100,64,145,2.14,3.04,70.53,25
2020-02-04,23898,492,821,22585,4011,66,217,2.06,3.44,59.93,26
2020-02-05,27643,564,1071,26008,3745,72,250,2.04,3.87,52.66,26
2020-02-06,30803,634,1418,28751,3160,70,347,2.06,4.6,44.71,26
2020-02-07,34396,719,1903,31774,3593,85,485,2.09,5.53,37.78,27
2020-02-08,37130,806,2470,33854,2734,87,567,2.17,6.65,32.63,27
2020-02-09,40160,906,3057,36197,3030,100,587,2.26,7.61,29.64,27
2020-02-10,42769,1013,3714,38042,2609,107,657,2.37,8.68,27.28,27
2020-02-11,44811,1113,4417,39281,2042,100,703,2.48,9.86,25.2,27
2020-02-12,45229,1118,4849,39262,418,5,432,2.47,10.72,23.06,27
2020-02-13,60382,1371,5930,53081,15153,253,1081,2.27,9.82,23.12,27
2020-02-14,66909,1523,7613,57773,6527,152,1683,2.28,11.38,20.01,28
2020-02-15,69051,1666,8902,58483,2142,143,1289,2.41,12.89,18.71,28
2020-02-16,71235,1770,10319,59146,2184,104,1417,2.48,14.49,17.15,28
2020-02-17,73270,1868,11951,59451,2035,98,1632,2.55,16.31,15.63,28
2020-02-18,75152,2008,13693,59451,1882,140,1742,2.67,18.22,14.66,28
2020-02-19,75652,2123,15395,58134,500,115,1702,2.81,20.35,13.79,29
2020-02-20,76212,2248,17370,56594,560,125,1975,2.95,22.79,12.94,29
2020-02-21,76841,2252,17967,56622,629,4,597,2.93,23.38,12.53,31
2020-02-22,78602,2459,21850,54293,1761,207,3883,3.13,27.8,11.25,31
2020-02-23,78982,2470,22304,54208,380,11,454,3.13,28.24,11.07,32
2020-02-24,79546,2630,24047,52869,564,160,1743,3.31,30.23,10.94,37
2020-02-25,80399,2710,26652,51037,853,80,2605,3.37,33.15,10.17,42
2020-02-26,81376,2771,29087,49518,977,61,2435,3.41,35.74,9.53,48
2020-02-27,82736,2814,31928,47994,1360,43,2841,3.4,38.59,8.81,52
2020-02-28,84123,2873,35315,45935,1387,59,3387,3.42,41.98,8.14,58
2020-02-29,86013,2942,38323,44748,1890,69,3008,3.42,44.55,7.68,62
2020-03-01,88394,2996,41217,44181,2381,54,2894,3.39,46.63,7.27,67
2020-03-02,90377,3085,44094,43198,1983,89,2877,3.41,48.79,7.0,74
2020-03-03,92963,3160,46690,43113,2586,75,2596,3.4,50.22,6.77,77
2020-03-04,95279,3255,49628,42396,2316,95,2938,3.42,52.09,6.56,81
2020-03-05,98044,3348,52246,42450,2765,93,2618,3.41,53.29,6.41,85
2020-03-06,102043,3460,54308,44275,3999,112,2062,3.39,53.22,6.37,94
2020-03-07,106109,3559,56798,45752,4066,99,2490,3.35,53.53,6.27,95
2020-03-08,110058,3803,59130,47125,3949,244,2332,3.46,53.73,6.43,100
2020-03-09,114027,3987,60929,49111,3969,184,1799,3.5,53.43,6.54,103
2020-03-10,119052,4267,62838,51947,5025,280,1909,3.58,52.78,6.79,106
2020-03-11,126702,4611,65434,56657,7678,344,2596,3.64,51.64,7.05,112
2020-03-12,132492,4917,66755,60820,5790,306,1321,3.71,50.38,7.37,114
2020-03-13,146879,5414,68681,72784,14387,497,1926,3.69,46.76,7.88,121
2020-03-14,157952,5834,71051,81067,11073,420,2370,3.69,44.98,8.21,135
2020-03-15,169222,6475,74461,88286,11270,641,3410,3.83,44.0,8.7,139
2020-03-16,184032,7153,76514,100365,14810,678,2053,3.89,41.58,9.35,145
2020-03-17,199976,7964,79261,112751,15944,811,2747,3.98,39.64,10.05,148
2020-03-18,219535,8867,81747,128921,19559,903,2486,4.04,37.24,10.85,152
2020-03-19,246584,9980,83389,153215,27049,1113,1642,4.05,33.82,11.97,156
2020-03-20,277361,11459,85833,180069,30777,1479,2444,4.13,30.95,13.35,163
2020-03-21,309363,13181,90078,206104,32002,1722,4245,4.26,29.12,14.63,165
2020-03-22,343679,14855,96297,232527,34316,1674,6219,4.32,28.02,15.43,170
2020-03-23,387045,16797,96766,273482,43366,1942,469,4.34,25.0,17.36,171
2020-03-24,428455,19082,106300,303073,41425,2285,9534,4.45,24.81,17.95,173
2020-03-25,479489,21881,112011,345597,51034,2799,5711,4.56,23.36,19.53,176
2020-03-26,542352,24902,120382,397068,62863,3021,8371,4.59,22.2,20.69,176
2020-03-27,607469,28393,129095,449981,65117,3491,8713,4.67,21.25,21.99,177
2020-03-28,674773,32109,137392,505272,67304,3716,8297,4.76,20.36,23.37,178
2020-03-29,734025,35585,146837,551603,59252,3476,9445,4.85,20.0,24.23,178
2020-03-30,799411,39637,162296,597478,65386,4052,15459,4.96,20.3,24.42,179
2020-03-31,876288,44389,174658,657241,76877,4752,12362,5.07,19.93,25.41,181
2020-04-01,952799,49897,190287,712615,76511,5508,15629,5.24,19.97,26.22,181
2020-04-02,1034087,56132,206930,771025,81288,6235,16643,5.43,20.01,27.13,182
2020-04-03,1117366,62242,221943,833181,83279,6110,15013,5.57,19.86,28.04,182
2020-04-04,1197749,68409,241981,887359,80383,6167,20038,5.71,20.2,28.27,182
2020-04-05,1269726,73580,255439,940707,71977,5171,13458,5.79,20.12,28.81,183
2020-04-06,1342936,79526,271785,991625,73210,5946,16346,5.92,20.24,29.26,184
2020-04-07,1420721,87754,294573,1038394,77785,8228,22788,6.18,20.73,29.79,184
2020-04-08,1505113,94514,323026,1087573,84392,6760,28453,6.28,21.46,29.26,184
2020-04-09,1591306,102274,347270,1141762,86193,7760,24244,6.43,21.82,29.45,184
2020-04-10,1678723,109675,368359,1200689,87417,7401,21089,6.53,21.94,29.77,185
2020-04-11,1754889,115902,393874,1245113,76166,6227,25515,6.6,22.44,29.43,185
2020-04-12,1850357,121726,412765,1315866,95489,5824,18891,6.58,22.31,29.49,185
2020-04-13,1920517,127630,439388,1353499,70160,5904,26623,6.65,22.88,29.05,185
2020-04-14,1991775,134609,464006,1393160,71258,6979,24618,6.76,23.3,29.01,185
2020-04-15,2073661,142964,499824,1430873,81886,8355,35818,6.89,24.1,28.6,185
2020-04-16,2170499,150251,530007,1490241,96838,7287,30183,6.92,24.42,28.35,185
2020-04-17,2258249,158618,555350,1544281,87750,8367,25343,7.02,24.59,28.56,185
2020-04-18,2331727,164638,578788,1588301,73479,6020,23438,7.06,24.82,28.45,185
2020-04-19,2411755,169899,609666,1632190,80028,5261,30878,7.04,25.28,27.87,185
2020-04-20,2486333,175758,631123,1679452,74578,5859,21457,7.07,25.38,27.85,185
2020-04-21,2562287,182945,665278,1714064,75954,7187,34155,7.14,25.96,27.5,185
2020-04-22,2639992,189674,694140,1756178,79893,6729,28862,7.18,26.29,27.33,185
2020-04-23,2727915,196511,722563,1808841,87923,6837,28423,7.2,26.49,27.2,185
2020-04-24,2812303,203177,772254,1836872,94422,6666,49691,7.22,27.46,26.31,185
2020-04-25,2895695,208812,799096,1887787,83392,5635,26842,7.21,27.6,26.13,185
2020-04-26,2967568,212753,826964,1927851,71874,3941,27868,7.17,27.87,25.73,185
2020-04-27,3037302,217426,853422,1966454,69734,4673,26458,7.16,28.1,25.48,185
2020-04-28,3112768,223972,885661,2003135,75571,6546,32239,7.2,28.45,25.29,185
2020-04-29,3190198,230707,926613,2032878,79942,6735,40952,7.23,29.05,24.9,185
2020-04-30,3273569,236701,990597,2046271,83371,5994,63984,7.23,30.26,23.89,187
2020-05-01,3360766,241851,1027378,2091537,87197,5150,36781,7.2,30.57,23.54,187
2020-05-02,3440766,247328,1066982,2126456,80167,5477,39604,7.19,31.01,23.18,187
2020-05-03,3517284,250800,1098368,2168116,76518,3472,31386,7.13,31.23,22.83,187
2020-05-04,3594379,254899,1131313,2208167,77096,4099,32945,7.09,31.47,22.53,187
2020-05-05,3674847,260785,1166804,2247258,80468,5886,35491,7.1,31.75,22.35,187
2020-05-06,3764791,267328,1211740,2285723,89944,6543,44936,7.1,32.19,22.06,187
2020-05-07,3853802,272620,1250152,2331030,90594,5292,38412,7.07,32.44,21.81,187
2020-05-08,3944929,278101,1285577,2381251,92607,5481,35425,7.05,32.59,21.63,187
2020-05-09,4029850,282389,1338033,2409428,84921,4288,52456,7.01,33.2,21.1,187
2020-05-10,4105078,285982,1370973,2448123,75237,3593,32940,6.97,33.4,20.86,187
2020-05-11,4181984,289449,1416946,2475589,76963,3467,45973,6.92,33.88,20.43,187
2020-05-12,4266251,294972,1452934,2518345,84287,5523,35988,6.91,34.06,20.3,187
